pkt_index,size,rx_time_ns,tx_time_ns,delta_ns
263,64,7117876103662284,7117876103664743,2459
264,64,7117876103665690,7117876103668124,2434
265,64,7117876103669110,7117876103671544,2434
266,64,7117876103672565,7117876103675004,2439
267,64,7117876103676025,7117876103678420,2395
268,64,7117876103679496,7117876103681947,2451
269,64,7117876103682976,7117876103685404,2428
270,64,7117876103686380,7117876103688817,2437
271,64,7117876103689844,7117876103692235,2391
272,64,7117876103693231,7117876103695648,2417
273,64,7117876103696601,7117876103699014,2413
274,64,7117876103699956,7117876103702362,2406
275,64,7117876103703346,7117876103705786,2440
276,64,7117876103706718,7117876103709164,2446
277,64,7117876103710115,7117876103712547,2432
278,64,7117876103713513,7117876103715965,2452
279,64,7117876103716898,7117876103719289,2391
280,64,7117876103720281,7117876103722698,2417
281,64,7117876103723685,7117876103726097,2412
282,64,7117876103727015,7117876103729457,2442
283,64,7117876103730373,7117876103732821,2448
284,64,7117876103733777,7117876103736220,2443
285,64,7117876103737181,7117876103739588,2407
286,64,7117876103740576,7117876103742996,2420
287,64,7117876103743940,7117876103746341,2401
288,64,7117876103747749,7117876103750147,2398
289,64,7117876103751134,7117876103753552,2418
290,64,7117876103754561,7117876103757064,2503
291,64,7117876103758056,7117876103760457,2401
292,64,7117876103761462,7117876103763966,2504
293,64,7117876103764895,7117876103767385,2490
294,64,7117876103768352,7117876103770736,2384
295,64,7117876103771720,7117876103774157,2437
296,64,7117876103775056,7117876103777505,2449
297,64,7117876103778496,7117876103780909,2413
298,64,7117876103781885,7117876103784314,2429
299,64,7117876103785282,7117876103790779,5497
300,64,7117876103790942,7117876103793363,2421
301,64,7117876103794406,7117876103797080,2674
302,64,7117876103798080,7117876103800616,2536
303,64,7117876103801704,7117876103804307,2603
304,64,7117876103805250,7117876103807898,2648
305,64,7117876103809005,7117876103811439,2434
306,64,7117876103812442,7117876103814917,2475
307,64,7117876103815930,7117876103818367,2437
308,64,7117876103819439,7117876103821958,2519
309,64,7117876103822906,7117876103825402,2496
310,64,7117876103826499,7117876103828961,2462
311,64,7117876103829978,7117876103832567,2589
312,64,7117876103833561,7117876103836247,2686
313,64,7117876103837271,7117876103839756,2485
314,64,7117876103840888,7117876103843330,2442
315,64,7117876103844413,7117876103846882,2469
316,64,7117876103847805,7117876103850283,2478
317,64,7117876103851322,7117876103853783,2461
318,64,7117876103854766,7117876103857450,2684
319,64,7117876103858420,7117876103861110,2690
320,64,7117876103862461,7117876103865142,2681
321,64,7117876103866128,7117876103868590,2462
322,64,7117876103869659,7117876103872088,2429
323,64,7117876103873031,7117876103875525,2494
324,64,7117876103876538,7117876103879035,2497
325,64,7117876103880020,7117876103882564,2544
326,64,7117876103883606,7117876103886515,2909
327,64,7117876103887533,7117876103889987,2454
328,64,7117876103890926,7117876103893396,2470
329,64,7117876103894445,7117876103897015,2570
330,64,7117876103898002,7117876103900616,2614
331,64,7117876103901669,7117876103904401,2732
332,64,7117876103905473,7117876103907972,2499
333,64,7117876103909145,7117876103911844,2699
334,64,7117876103912831,7117876103915342,2511
335,64,7117876103916282,7117876103918771,2489
336,64,7117876103919779,7117876103922233,2454
337,64,7117876103923382,7117876103925947,2565
338,64,7117876103926913,7117876103929398,2485
339,64,7117876103930471,7117876103932977,2506
340,64,7117876103933931,7117876103936455,2524
341,64,7117876103937488,7117876103940096,2608
342,64,7117876103941083,7117876103943529,2446
343,64,7117876103944643,7117876103947053,2410
344,64,7117876103947979,7117876103950538,2559
345,64,7117876103951548,7117876103954229,2681
346,64,7117876103955260,7117876103958063,2803
347,64,7117876103959152,7117876103961675,2523
348,64,7117876103962854,7117876103965447,2593
349,64,7117876103966498,7117876103969009,2511
350,64,7117876103969944,7117876103972483,2539
351,64,7117876103973434,7117876103975849,2415
352,64,7117876103977205,7117876103979799,2594
353,64,7117876103980755,7117876103983260,2505
354,64,7117876103984270,7117876103986778,2508
355,64,7117876103987776,7117876103990237,2461
356,64,7117876103993080,7117876103995527,2447
357,64,7117876103996584,7117876103999185,2601
358,64,7117876104000183,7117876104002914,2731
359,64,7117876104003821,7117876104006257,2436
360,64,7117876104007193,7117876104009655,2462
361,64,7117876104010604,7117876104013234,2630
362,64,7117876104014227,7117876104016686,2459
363,64,7117876104017671,7117876104020232,2561
364,64,7117876104021246,7117876104023850,2604
365,64,7117876104024846,7117876104027346,2500
366,64,7117876104028317,7117876104030778,2461
367,64,7117876104031876,7117876104034455,2579
368,64,7117876104035397,7117876104037909,2512
369,64,7117876196789789,7117876196793289,3500
370,64,7117876259786710,7117876259790163,3453
371,64,7117876309784717,7117876309788019,3302
372,64,7117876359782778,7117876359785656,2878
373,64,7117876359786564,7117876359788992,2428
374,64,7117876359789943,7117876359792403,2460
375,64,7117876359793727,7117876359796114,2387
376,64,7117876359797460,7117876359799897,2437
377,64,7117876359800889,7117876359803345,2456
378,64,7117876359804310,7117876359806770,2460
379,64,7117876359807712,7117876359810097,2385
380,64,7117876359811453,7117876359813890,2437
381,64,7117876359814841,7117876359817312,2471
382,64,7117876359818296,7117876359820694,2398
383,64,7117876359821700,7117876359824086,2386
384,64,7117876359826837,7117876359829387,2550
385,64,7117876359830331,7117876359832750,2419
386,64,7117876359833719,7117876359836243,2524
387,64,7117876359837181,7117876359839619,2438
388,64,7117876359840959,7117876359843468,2509
389,64,7117876359844468,7117876359846890,2422
390,64,7117876359847880,7117876359850396,2516
391,64,7117876359851335,7117876359853738,2403
392,64,7117876359854733,7117876359857302,2569
393,64,7117876359858249,7117876359860721,2472
394,64,7117876359861598,7117876359864033,2435
395,64,7117876359865013,7117876359867455,2442
396,64,7117876359868431,7117876359870847,2416
397,64,7117876359871822,7117876359874224,2402
398,64,7117876359875170,7117876359877589,2419
399,64,7117876359878538,7117876359880942,2404
400,64,7117876359881917,7117876359884349,2432
401,64,7117876359885344,7117876359887792,2448
402,64,7117876359888735,7117876359891137,2402
403,64,7117876359892154,7117876359894622,2468
404,64,7117876359895563,7117876359898033,2470
405,64,7117876359899002,7117876359901414,2412
406,64,7117876359902427,7117876359904882,2455
407,64,7117876359905842,7117876359908294,2452
408,64,7117876359909274,7117876359911726,2452
409,64,7117876359912702,7117876359915132,2430
410,64,7117876359916119,7117876359918554,2435
411,64,7117876359919490,7117876359921886,2396
412,64,7117876359922794,7117876359925248,2454
413,64,7117876359926191,7117876359928602,2411
414,64,7117876359929509,7117876359932024,2515
415,64,7117876359932980,7117876359935396,2416
416,64,7117876359936717,7117876359939121,2404
417,64,7117876359940134,7117876359942528,2394
418,64,7117876359943488,7117876359945916,2428
419,64,7117876359946904,7117876359949353,2449
420,64,7117876359950289,7117876359952703,2414
421,64,7117876359953691,7117876359956114,2423
422,64,7117876359957056,7117876359959423,2367
423,64,7117876359960473,7117876359962869,2396
424,64,7117876359963853,7117876359966307,2454
425,64,7117876359967225,7117876359969648,2423
426,64,7117876359970654,7117876359973115,2461
427,64,7117876359974082,7117876359976491,2409
428,64,7117876359977419,7117876359979929,2510
429,64,7117876359980950,7117876359983357,2407
430,64,7117876359984348,7117876359986748,2400
431,64,7117876359987719,7117876359990167,2448
432,64,7117876359991120,7117876359993540,2420
433,64,7117876359994485,7117876359996918,2433
434,64,7117876359997902,7117876360000304,2402
435,64,7117876360001330,7117876360003767,2437
436,64,7117876360004731,7117876360007163,2432
437,64,7117876360008168,7117876360010528,2360
438,64,7117876360011570,7117876360014024,2454
439,64,7117876360014975,7117876360017346,2371
440,64,7117876360018382,7117876360020809,2427
441,64,7117876360021807,7117876360024208,2401
442,64,7117876360025167,7117876360027611,2444
443,64,7117876360028541,7117876360030952,2411
444,64,7117876360031915,7117876360034415,2500
445,64,7117876360035417,7117876360037806,2389
446,64,7117876427780145,7117876427783816,3671
447,64,7117876486777140,7117876486779970,2830
448,64,7117876486782077,7117876486784613,2536
449,64,7117876486785550,7117876486787949,2399
450,64,7117876486788878,7117876486791319,2441
451,64,7117876486792287,7117876486794727,2440
452,64,7117876486795633,7117876486798167,2534
453,64,7117876486799162,7117876486801621,2459
454,64,7117876486802530,7117876486804980,2450
455,64,7117876486806017,7117876486808433,2416
456,64,7117876486809403,7117876486811856,2453
457,64,7117876486812860,7117876486815359,2499
458,64,7117876486816239,7117876486818711,2472
459,64,7117876486819684,7117876486822155,2471
460,64,7117876486823109,7117876486825550,2441
461,64,7117876486826554,7117876486828973,2419
462,64,7117876486829928,7117876486832459,2531
463,64,7117876486833484,7117876486835905,2421
464,64,7117876486836836,7117876486839359,2523
465,64,7117876486840332,7117876486842742,2410
466,64,7117876486843719,7117876486846255,2536
467,64,7117876486847221,7117876486849658,2437
468,64,7117876486850576,7117876486853009,2433
469,64,7117876486853974,7117876486856407,2433
470,64,7117876486857364,7117876486859767,2403
471,64,7117876486860756,7117876486863182,2426
472,64,7117876486864148,7117876486866628,2480
473,64,7117876486867564,7117876486869967,2403
474,64,7117876486870952,7117876486873391,2439
475,64,7117876486874373,7117876486876827,2454
476,64,7117876486877750,7117876486880239,2489
477,64,7117876486881260,7117876486883692,2432
478,64,7117876486884627,7117876486887170,2543
479,64,7117876486888136,7117876486890548,2412
480,64,7117876486891899,7117876486894371,2472
481,64,7117876486895303,7117876486897774,2471
482,64,7117876486898632,7117876486901059,2427
483,64,7117876486902035,7117876486904507,2472
484,64,7117876486907288,7117876486909844,2556
485,64,7117876486910793,7117876486913248,2455
486,64,7117876486914187,7117876486916636,2449
487,64,7117876486917654,7117876486920077,2423
488,64,7117876486921053,7117876486923513,2460
489,64,7117876486924461,7117876486926874,2413
490,64,7117876486927876,7117876486930346,2470
491,64,7117876486931287,7117876486933709,2422
492,64,7117876486934680,7117876486937194,2514
493,64,7117876486938107,7117876486940515,2408
494,64,7117876486941515,7117876486944039,2524
495,64,7117876486944995,7117876486947447,2452
496,64,7117876486948429,7117876486950857,2428
497,64,7117876486951848,7117876486954271,2423
498,64,7117876486955217,7117876486957699,2482
499,64,7117876486958678,7117876486961132,2454
500,64,7117876486962080,7117876486964545,2465
501,64,7117876486965575,7117876486967920,2345
502,64,7117876486968976,7117876486971413,2437
503,64,7117876486972382,7117876486974785,2403
504,64,7117876486975748,7117876486978332,2584
505,64,7117876486979312,7117876486981743,2431
506,64,7117876486982747,7117876486985261,2514
507,64,7117876486986189,7117876486988636,2447
508,64,7117876486989570,7117876486994440,4870
509,64,7117876486995331,7117876486997759,2428
510,64,7117876486998706,7117876487002801,4095
511,64,7117876487003814,7117876487006178,2364
512,64,7117876487008126,7117876487010599,2473
513,64,7117876487011590,7117876487013987,2397
514,64,7117876487014910,7117876487017328,2418
